model,benchmark,score,source,source_detail,shot,protocol,thinking,date,benchmark_variant,benchmark_family,metric_type,score_scale,source_confidence_weight,exact_protocol_match_to_primary_suite,tools_allowed,reasoning_effort,pass_at_k,consensus_or_samples,score_level,notes,family,log_active_params,log_total_params,log_train_tokens,scale_bucket,param_confidence,scale_imputed,is_moe,log_context,is_gqa,has_rope,math_intensity,code_pretrain,synthetic_quality,trained_web_only,is_reasoning_model,is_instruct,is_closed_source,release_year_norm,active_x_math,active_x_code,saturation_2026,n_choices,output_space,contamination_resistant,retained_v22,include_primary,metric_is_percent,thinking_on_cell,reasoning_effort_score,tools_allowed_flag,sample_weight
Claude-3.5-Sonnet,AIME_2024,16.0,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,AIME_2024,AIME,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,95.0,0,1,1,0,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,ARC_C,96.7,simple_evals,OpenAI simple-evals + Anthropic model card Jun 2024,,legacy (see v8),na,2024 (v8 capture),ARC_Challenge,ARC,percent,0_to_100,0.85,1,unknown,unknown,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,97.0,4,2,0,1,1,1,0.0,0.25,0.0,0.85
Claude-3.5-Sonnet,GPQA_Diamond,65.0,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,GPQA_Diamond,GPQA,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,94.0,4,2,1,0,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,HumanEval,93.7,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,HumanEval,HumanEval,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,97.0,0,0,0,1,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,IFEval,86.5,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,IFEval_prompt_strict_or_reported,IFEval,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,93.0,0,0,0,0,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,LiveCodeBench,37.6,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,LCB_2024_2025_window,LiveCodeBench,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,92.0,0,0,1,0,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,MATH,78.3,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,MATH_500_or_full,MATH,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,95.0,0,0,0,1,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,MBPP,88.2,simple_evals,OpenAI simple-evals + Anthropic model card Jun 2024,,legacy (see v8),na,2024 (v8 capture),MBPP,MBPP,percent,0_to_100,0.85,1,unknown,unknown,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,95.0,0,0,0,1,1,1,0.0,0.25,0.0,0.85
Claude-3.5-Sonnet,MMLU,88.3,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,MMLU_original,MMLU,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,93.0,4,2,0,1,1,1,0.0,0.0,0.0,0.85
Claude-3.5-Sonnet,MMLU_Pro,78.0,cross_report,DeepSeek-V3 tech report arxiv:2412.19437 Table 5 (cross-reported Anthropic baseline),0.0,0-shot CoT,off,2024-10,MMLU_Pro,MMLU_Pro,percent,0_to_100,0.85,1,unknown,none,,1,reported,imported from v3,Claude,4.248495242049359,4.248495242049359,9.615805480084347,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.5,8.496990484098719,8.496990484098719,89.0,10,2,1,0,1,1,0.0,0.0,0.0,0.85
Claude-Opus-4,AIME_2025,75.5,cross_report,"Google Gemini 2.5 report, Tables 3-4, https://storage.googleapis.com/deepmind-media/gemini/gemini_v2_5_report.pdf",0.0,single attempt unless otherwise specified,on,2025-06,AIME_2025,AIME,percent,0_to_100,0.85,1,no,standard,1.0,1,reported,v4 extension,Claude,5.298317366548036,5.298317366548036,9.903487552536127,3.0,0.35,1,0,12.206072645530174,1,1,2.0,2.0,2.0,0.0,1.0,1.0,1.0,3.4200000000000728,10.596634733096073,10.596634733096073,95.0,0,1,1,0,0,1,1.0,0.65,0.0,0.85
